,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Actinobacteria Actinobacteria Geodermatophilales Geodermatophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Mycobacteriales Lawsonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Streptosporangiales Nocardiopsaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae,10,1,0,84,0,5,10,1,0,35,0,1,3,0,0,14,0,2,1,0,0,78,0,1,0,0,2,14,0,0
Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae,237929,158835,162928,81522,177341,137925,242106,157168,185389,65827,167661,140829,235740,160816,178384,71011,167072,128103,193747,153646,193843,65380,160813,132788,194223,121030,181907,61556,150865,141367
Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae,5,2,0,0,3,3,6,0,2,1,0,1,0,0,0,0,1,0,0,5,0,202,7,0,0,0,1,51,0,3
Bacteroidetes Bacteroidia Bacteroidales Muribaculaceae,0,0,1,0,0,0,0,0,0,3,0,0,14,0,1,2,0,0,7,0,0,4,0,0,0,0,0,0,0,0
Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,68,0,0,0,0,1,129,0,0
Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae,12363,10381,13358,8533,8275,21479,11295,10298,17535,6159,10122,23026,12564,12669,13332,4645,9262,16538,13291,11202,16367,4940,9079,24750,10286,8016,14884,5612,11372,19221
Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae,0,4,3,0,5,0,0,2,18,0,3,3,28,6,2,0,3,5,1,4,1,0,5,2,2,10,1,0,8,29
Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae,319,156,302,2309,492,336,418,129,259,1585,729,499,291,193,249,2748,382,509,359,295,216,1028,718,539,449,269,544,1571,708,2474
Bacteroidetes Bacteroidia Bacteroidales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Cytophagia Cytophagales Cytophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes unknown unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi Caldilineae Caldilineales Caldilineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast Chloroplast Chloroplast Streptophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus Deinococci Deinococcales Deinococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillaceae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Paenibacillaceae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Lactobacillales Enterococcaceae,1,0,0,8,0,0,0,0,0,5,0,13,0,0,2,4,0,0,3,0,0,9,0,3,1,0,0,21,0,52
Firmicutes Bacilli Lactobacillales Lactobacillaceae,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Lactobacillales Streptococcaceae,1,0,0,118,0,0,0,0,0,45,0,0,4,0,0,32,0,0,5,0,0,213,0,0,1,0,1,328,0,0
Firmicutes Bacilli Lactobacillales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Clostridia Clostridiales Catabacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Clostridia Clostridiales Christensenellaceae,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,17,0,2,0,0,0,37,0,0
Firmicutes Clostridia Clostridiales Clostridiaceae_1,106,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,13,0,0,0,0,0
Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII,0,3,18,0,32,2,0,2,14,6,53,8,0,10,16,0,124,6,11,22,16,25,18,1,4,2,15,8,58,12
Firmicutes Clostridia Clostridiales Eubacteriaceae,0,0,17,0,8,1,0,7,65,0,10,67,0,0,4,1,3,176,0,1,7,24,1,109,0,8,6,28,0,130
Firmicutes Clostridia Clostridiales Lachnospiraceae,42739,26804,8880,21979,5385,18999,36270,21650,8753,23346,3954,12774,37196,18036,12351,15668,1640,9454,32315,23064,12457,22863,3310,13159,32294,28423,9091,20389,2053,15663
Firmicutes Clostridia Clostridiales Peptostreptococcaceae,4,0,5,147,0,1,0,0,2,321,5,0,0,0,0,142,0,0,0,0,0,111,0,0,2,0,0,40,0,77
Firmicutes Clostridia Clostridiales Ruminococcaceae,7456,1941,1686,5347,841,2656,8793,2112,1888,7858,1271,2643,8487,1373,827,4921,392,2792,5132,2699,2159,9588,741,3251,4652,1237,2275,7671,309,2749
Firmicutes Clostridia Clostridiales unknown,2,72,33,7,15,339,1,69,48,15,23,125,0,54,111,1,6,289,13,118,36,55,4,92,0,167,56,62,0,96
Firmicutes Clostridia unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae,4,14,85,32,90,135,4,7,129,17,190,403,6,1,7,25,20,86,3,1,128,49,20,707,2,0,114,33,374,174
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae,837,502,1259,1228,4423,1762,865,522,1201,1546,4390,1670,877,618,1312,1664,12718,2428,781,543,1078,2248,6547,965,463,435,1661,1703,6752,2773
Firmicutes Erysipelotrichia Erysipelotrichales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae,14,17,10,0,14,2,6,11,14,1,21,7,5,12,13,0,34,2,8,29,13,510,12,16,3,19,21,1784,41,31
Firmicutes Negativicutes Selenomonadales Selenomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Veillonellales Veillonellaceae,2,0,0,0,0,0,1255,0,0,5,0,0,9,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes unknown unknown unknown,0,0,0,0,0,0,0,43,0,47,0,0,3,0,0,0,0,0,2,1,0,0,0,14,0,0,0,7,0,0
Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Lentisphaerae Lentisphaeria Victivallales Victivallaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Kiloniellales Kiloniellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Boseaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Devosiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Pleomorphomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Stappiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Azospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Erythrobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingosinicellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae,29543,22370,19993,5318,29604,12924,28737,17282,21595,6213,26870,12589,23393,21493,18694,5814,37065,14352,25506,21177,17274,3846,32233,15478,21569,14245,18751,5372,30070,12731
Proteobacteria Betaproteobacteria Burkholderiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Bdellovibrionales Bdellovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae,40,7,117,0,8,47,55,0,152,3,10,116,19,2,48,0,13,17,5,1,65,2328,2,95,3,3,102,3072,2,87
Proteobacteria Deltaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Chromatiales Chromatiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae,0,46,15,11,57,6,0,0,21,11,52,15,17,24,21,0,119,26,6,98,6,112,52,7,0,10,17,44,95,88
Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Legionellales Legionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae,0,0,13,1,0,2,0,0,301,0,0,15,0,0,1,0,0,102,0,0,0,0,0,0,0,0,10,0,0,7
Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Hydrogenophilalia Hydrogenophilales Hydrogenophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Oligoflexia Bacteriovoracales Bacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria unknown unknown unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae,105890,60284,69007,74674,68277,29861,80287,34022,44042,90379,70355,35211,84251,54545,62908,93781,75128,36561,84132,59170,59516,84308,73382,29722,75042,60216,65882,123226,76000,32974
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,1
