	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20	Cluster 21	Cluster 22	Cluster 23
Cluster 1	0.0	1.8407197099028396	1414.5600821636424	0.46709659030177786	149.77252843394575	0.43756118104577857	644.4546690699807	15.823991498904928	2.342362276682515	23.036210646455366	7.87313102716093	0.5475361767007889	3.6443122330485527	2.050609058483074	4.807931603200071	204.14240780224188	23493.104611923507	0.5580847059130015	892.7528603123504	2.178447969170879	1.792024000991892	3.237769644519662	106.90682217946143
Cluster 2	0.05945814380589018	0.0	24.45999757240688	4.932302295069888	inf	0.5704078764598294	6.095990262420431	0.032979344515803255	4.422135954142499	5.582536915709963	0.2641899492293193	0.01812229673112865	0.4984821467685383	0.4323597481349314	0.8043653133666662	0.14442976732215945	188.99515369567567	1.3439484207253976	83.22042951778211	2.265369559180529	0.6305180858726372	2.058938177282295	0.8843955095707872
Cluster 3	0.057800727743954235	0.00823246268803693	0.0	0.0016458338747260552	0.6874813895476316	0.013175895046746058	0.1377337412333391	0.0016458338747260552	2.4178258541171287	0.01977175760518922	12.930258717660292	0.1578380440960781	0.01647316607946529	0.014824365551043184	0.17799111914811314	0.8461069114336736	252.44351808965052	0.0860221181640594	0.6856955380577427	0.9928807409306049	14.17180683235366	3.218932281958299	0.5915748928773316
Cluster 4	24.68503937007874	0.6518349100738122	13697.454068241468	0.0	1.701414681655359	7.428202461629887	0.5563257089503945	1.271081419680883	6.876205021373604	0.38741446981358646	11.2202208326381	0.16622922134733156	3.3969600162628963	3.6492239019908705	0.7935093019032998	inf	27411.364829396323	0.8243035303670103	2207.4207278144286	6.173522864097433	4.181246531542474	3.032521811135522	82267.00787401575
Cluster 5	0.0032919969820735797	0.009879943714260053	0.03463178186001627	0.004938489420842001	0.0	0.004938489420842001	0.04124484439445069	0.03463178186001627	0.33071187431776067	0.18976967349038887	0.026372905309913184	0.05117438863626849	0.323864763157282	0.01647316607946529	1.2481945673950519	0.03132723828818061	0.44797366430891056	0.10933578943864149	0.1226874144258061	0.9614833285551413	0.40640055252853613	0.47231944479319465	14.355314039218229
Cluster 6	0.0032919969820735797	0.00823246268803693	0.03132723828818061	0.006585311289870279	0.2607927767663743	0.0	0.07937311694559081	0.009879943714260053	0.3067713968778248	0.013175895046746058	0.04455336495151081	0.03793765029646928	0.13271526543053086	0.1578380440960781	0.44103058326252187	99.84502378898749	inf	0.1226874144258061	0.7358404269671054	1.1158569140416443	0.3289995727278276	0.573932061659011	2772.8132924062456
Cluster 7	0.0	0.01977175760518922	0.03463178186001627	0.0032919969820735797	4.238343446505806	0.011527754467497327	0.0	0.0016458338747260552	0.10100193859709582	0.07438987253665115	0.03132723828818061	0.06609113619833665	0.026372905309913184	0.04620812290160481	0.21844429746210794	0.03793765029646928	1.3324033068993606	0.08768520402226287	0.2540025713682621	0.9577969420489105	0.17967274915544573	0.58627820652493	0.7214834053885227
Cluster 8	0.07106937785232405	0.4150447464315064	0.928361928559902	1.9081022137047063	0.9100155220150036	0.8552079001906794	0.1494553342285292	0.0	0.9155153768979554	0.1377337412333391	4.160562052018617	0.252305881807418	0.8917077964874884	0.9357113493343452	3.127613778731068	inf	3997.3708469368157	0.30847916626558597	1439.8878126959794	1.4213004743228388	3.805179671428045	3.041758405791693	418.9055534724826
Cluster 9	0.0016458338747260552	0.05448689336226872	3.0625727886493133	0.00823246268803693	0.7250704123458779	0.04620812290160481	0.03793765029646928	0.00823246268803693	0.0	0.05945814380589018	0.5915748928773316	0.1226874144258061	0.049518634644089746	0.06940963068509788	0.6145652955206325	0.05117438863626849	0.5510508995387565	0.16790847401272538	0.2863052689173849	1.0522898649797725	0.680340215205058	4.493902775202113	1.01511185716925
Cluster 10	0.0	0.057800727743954235	0.004938489420842001	0.0032919969820735797	0.35128677549766496	0.08103486611957647	0.40812868262342383	0.032979344515803255	0.04124484439445069	0.0	0.15280740290992087	0.2201341167984322	0.531737883956825	0.014824365551043184	0.5933411866823733	1.1402841111926878	54839.186351706034	0.0860221181640594	0.4984821467685383	1.080277369420894	1.8122823457014585	0.6749882373385401	0.8315652160246436
Cluster 11	0.0	0.014824365551043184	2.8995678645321066	0.0032919969820735797	4.625414328973674	0.03463178186001627	23.236247061013177	0.0528304748423301	11.975741283894454	0.10766834820030988	0.0	0.12769982407847513	0.2641899492293193	0.01812229673112865	4.321959755030621	5.629863137326597	23493.104611923507	0.11434012798546188	0.9081830108368456	1.6434972685167542	49.66099657390154	3.5855588383932826	2.507000234097265
Cluster 12	0.0	0.011527754467497327	0.18976967349038887	0.0016458338747260552	2.0902392554249776	0.0016458338747260552	18.858098746240408	0.03959108158793703	0.35300362735556934	0.15280740290992087	0.22182427865413143	0.0	0.1377337412333391	0.1477798072133325	0.313604562804764	0.05448689336226872	2.0860596650770766	0.17967274915544573	0.3943135512730169	1.0188225516092106	0.3633121084721319	0.9449068681366717	0.7790558438259733
Cluster 13	0.0016458338747260552	0.04124484439445069	0.01647316607946529	0.04455336495151081	0.3943135512730169	0.2049380609847582	0.06277397417272249	0.014824365551043184	0.049518634644089746	0.01977175760518922	0.04289893881572403	0.032979344515803255	0.0	0.056143644296118615	0.21675482054104936	428.3187912321771	0.474061112731279	0.08934862430352249	0.531737883956825	0.9817863844692403	0.22182427865413143	1.1591205241926648	0.8007451249801828
Cluster 14	0.05945814380589018	0.032979344515803255	37.51737370972282	0.8461069114336736	1.8346185386379885	2.6612124227965923	2.6656553475784155	0.028024018784689877	5.1315176512026905	4.440694913135858	24.643938738426925	0.16622922134733156	1.1817775189676851	0.0	0.7880864153219451	2.8950155924770926	inf	0.5334918000003251	0.5651243325655869	1.4232428899451453	17.799537131130883	1.9677281719095459	2.6567715620913237
Cluster 15	0.0	0.01812229673112865	0.38741446981358646	0.0016458338747260552	1.45632865337789	0.01812229673112865	0.06775021683390088	0.0016458338747260552	129.43597475847434	0.09267646853877778	0.04786321276583983	0.35300362735556934	0.13940724129935553	0.014824365551043184	0.0	0.09101237910872001	0.35815628798928995	1.08962643130532	0.16287173353987183	1.000284824373616	0.2150656859311895	1.2424820848781297	3.725662879336551
Cluster 16	0.05448689336226872	0.013175895046746058	1279.3458986917974	0.06775021683390088	1.792024000991892	0.12602868414120544	0.35300362735556934	0.026372905309913184	0.7682316348513794	0.10266803789795947	20.032648357979642	0.1494553342285292	0.1948227330634566	0.08269694931349661	3.1113129289278794	0.0	inf	0.10100193859709582	0.3153137247978532	1.2272668044154056	21.966591964937376	13.513609241751354	2.0235910994000537
Cluster 17	0.032979344515803255	0.026372905309913184	0.01812229673112865	0.1226874144258061	7.912762015365582	0.09434089269465877	0.03132723828818061	0.04620812290160481	0.21000033492876385	0.5124686801239966	0.09101237910872001	0.009879943714260053	0.2083125685238712	0.6553928861211159	0.4862628298303029	407.6848770192385	0.0	2.8134393036935954	32.962805325010045	1.2500995477566594	1.0206784899551107	0.7917012941247347	22.056513062242132
Cluster 18	0.03959108158793703	0.009879943714260053	20.68321436123802	0.009879943714260053	0.9063508863460014	0.02142154880084267	0.04124484439445069	0.02142154880084267	15.704129665050418	0.5247258394630296	0.056143644296118615	0.18135471919513244	0.18471967978418713	0.03628455042037364	0.26928829749518424	2.6345981694283576	47.427984545410084	0.0	0.3856905820453745	0.9854829354597765	0.5756947013790529	1.0076951937836804	0.9081830108368456
Cluster 19	0.08934862430352249	0.0247221225539096	6.368123887426692	0.01647316607946529	0.8007451249801828	0.011527754467497327	0.33071187431776067	0.011527754467497327	0.6714221088725274	1.0058420116840234	0.08435936662807088	0.049518634644089746	0.39776521175328294	0.056143644296118615	0.29823776609475433	59.94392414040167	inf	0.35300362735556934	0.0	1.056016369774572	1.462180032374002	0.7358404269671054	14.424697428865677
Cluster 20	0.0032919969820735797	0.01647316607946529	0.37535466090672387	0.0016458338747260552	7.959765415079791	0.00823246268803693	0.07771170169086043	0.00823246268803693	5.37495064377234	0.3067713968778248	0.09933617452747984	0.056143644296118615	0.02142154880084267	0.07106937785232405	0.2948267460052835	0.06277397417272249	0.49498911523575	0.1763098290700321	0.40467277655866785	0.0	0.37535466090672387	0.7826669372173858	0.8206749746832827
Cluster 21	0.0	0.01647316607946529	0.006585311289870279	0.0016458338747260552	0.5054725302194368	0.01812229673112865	0.08269694931349661	0.004938489420842001	0.05945814380589018	0.04455336495151081	0.2015649197813225	107.37094375618398	0.026372905309913184	0.0016458338747260552	0.3701914561293335	0.06940963068509788	9.053604580624135	0.11600891278318307	0.23197244853063884	1.0746727128907543	0.0	0.54929335651789	1.2310681715086558
Cluster 22	0.0	0.009879943714260053	0.47231944479319465	0.0032919969820735797	0.5299843299934328	0.004938489420842001	0.028024018784689877	0.004938489420842001	0.43062664883667373	0.056143644296118615	0.05117438863626849	0.03959108158793703	0.08435936662807088	0.01812229673112865	0.33927862507694806	0.09267646853877778	31.817560279297737	0.12101728444415889	0.3341375257385756	0.9688607856673569	1.6375268924259674	0.0	0.8643184679275367
Cluster 23	0.0	0.00823246268803693	0.15280740290992087	0.0	0.4566605433313642	0.01647316607946529	0.07937311694559081	0.0032919969820735797	0.11434012798546188	0.03959108158793703	0.01812229673112865	0.056143644296118615	0.014824365551043184	0.009879943714260053	0.21000033492876385	0.011527754467497327	0.6678574647471875	0.08435936662807088	0.07771170169086043	1.0169670073891006	0.15616082514216312	0.7178978958250131	0.0
